Company;Date ;Announcement ;
TSLA;30/01/2014;Model S P85D;
NVDA;08/03/2014;NVDA GeForce GTX 800M Series;
META;30/04/2014;Facebook Paper;
AMZN;18/06/2014;AMZN Fire Phone;
NVDA;02/09/2014;GeForce GTX 980 and GTX 970;
APPL;09/09/2014;Iphone 6;
TSMC;10/09/2014;16nm FinFET risk production.;
AMZN;17/09/2014;AMZN Fire TV;
MSFT;30/09/2014;Windows 10 preview launch.;
TSLA;30/09/2014;Gigafactory 1 Announcement;
AVGO;03/10/2014;First 802.11ac Wi-Fi chip.;
GOOG;15/10/2014;Nexus 6, Nexus 9, Android 5.0 Lollipop;
MSFT;21/01/2015;HoloLens and Surface Hub unveiled.;
APPL;09/03/2015;Apple Watch, MacBook (12-inch);
NVDA;17/03/2015;NVDA Shield Console;
META;25/03/2015;Facebook Live;
TSLA;31/03/2015;Model X;
TECHY;15/05/2015;Nintendo partnership for Honor of Kings.;
NVDA;22/06/2015;NVDA GeForce GTX 980 Ti;
APPL;09/09/2015;iPhone 6s, iPhone 6s Plus, iPad Pro;
GOOG;28/09/2015;Google Home;
MSFT;06/10/2015;Surface Book, Surface Pro 4, Lumia 950.;
AVGO;10/03/2016;Tomahawk 2 Ethernet switch.;
APPL;21/03/2016;iPhone SE, 9.7-inch iPad Pro;
TSLA;19/04/2016;Autopilot 2.0;
META;20/04/2016;Facebook Spaces;
NVDA;06/05/2016;GeForce GTX 1080 and GTX 1070;
GOOG;18/05/2016;Google Assistant, Google Home;
APPL;13/06/2016;iOS 10, macOS Sierra, watchOS 3 (WWDC);
MSFT;02/08/2016;Windows 10 Anniversary Update.;
TSLA;17/08/2016;Model 3 Reveal;
APPL;07/09/2016;iPhone 7, iPhone 7 Plus, AirPods;
AMZN;28/09/2016;AMZN Echo Dot;
GOOG;04/10/2016;Google Pixel, Pixel XL;
TSMC;20/10/2016;10nm production for mobile and high-performance.;
MSFT;26/10/2016;Surface Studio and Dial for creatives.;
GOOG;10/01/2017;Google Pixel 2, Pixel 2 XL;
META;10/01/2017;Facebook Marketplace;
APPL;21/03/2017;9.7-inch iPad, Red iPhone 7/7 Plus;
TECHY;21/03/2017;WeChat Mini Programs launch.;
TSMC;03/04/2017;7nm production starts.;
NVDA;10/05/2017;NVDA TSLA V100;
META;18/05/2017;Facebook Stories;
MSFT;23/05/2017;Surface Pro 5 and Pen update.;
AMZN;30/05/2017;AMZN Echo Show;
APPL;05/06/2017;iOS 11, macOS High Sierra, watchOS 4 (WWDC);
AVGO;28/06/2017;Tomahawk 3 switch, 12.8 Tbps.;
TSLA;01/07/2017;Model 3 Production Begins;
APPL;12/09/2017;iPhone X, iPhone 8, Apple Watch Series 3;
AMZN;27/09/2017;AMZN Fire TV 4K;
GOOG;10/10/2017;Google Pixel 2, Google Home Mini;
MSFT;17/10/2017;Windows 10 Fall Creators Update.;
META;18/01/2018;Facebook Watch;
AMZN;29/01/2018;AMZN Go (beta);
AVGO;12/02/2018;Jericho2, 10 Tbps for routers.;
TSLA;23/03/2018;Model 3 Launch Event;
APPL;27/03/2018;Education-focused announcements (new iPad);
TSMC;09/04/2018;5nm risk production target for 2019.;
GOOG;08/05/2018;Google Duplex, Google Assistant updates;
APPL;04/06/2018;iOS 12, macOS Mojave, watchOS 5 (WWDC);
NVDA;21/08/2018;GeForce RTX 2080 and RTX 2080 Ti;
AMZN;06/09/2018;Echo Studio;
APPL;12/09/2018;iPhone XS, iPhone XS Max, iPhone XR;
MSFT;02/10/2018;Surface Pro 6, Laptop 2, Studio 2.;
GOOG;09/10/2018;Google Pixel 3, Google Home Hub;
META;11/10/2018;Portal;
TECHY;07/11/2018;"""START"" cloud gaming service.";
NVDA;18/03/2019;NVDA Omniverse Platform;
APPL;25/03/2019;Apple TV+, Apple News+, Apple Card;
TSLA;29/03/2019;TSLA Model Y Reveal;
TSMC;01/04/2019;5nm mass production for efficiency.;
MSFT;30/04/2019;Managed Kubernetes Services on Azure.;
GOOG;07/05/2019;Google Assistant updates, Pixel 3a, 3a XL;
TECHY;20/05/2019;Acquired Supercell for gaming.;
APPL;03/06/2019;iOS 13, macOS Catalina, watchOS 6 (WWDC);
APPL;10/09/2019;iPhone 11, iPhone 11 Pro, Apple Watch Series 5;
AVGO;19/09/2019;Wi-Fi 6 chip for next-gen.;
AMZN;20/09/2019;Echo Buds;
META;20/09/2019;Facebook Gaming;
AMZN;25/09/2019;Fire TV Stick 4K;
TSLA;30/09/2019;TSLA Cybertruck Announcement;
GOOG;15/10/2019;Pixel 4, Pixel 4 XL;
AVGO;16/01/2020;7nm 5G radio chipsets.;
APPL;18/03/2020;iPad Pro (2020), MacBook Air (2020);
GOOG;06/05/2020;Google I/O (virtual);
MSFT;06/05/2020;Iphone 7;
TSLA;08/05/2020;TSLA Battery Day Announcement;
TECHY;27/05/2020;Pokémon Unite release.;
NVDA;01/06/2020;NVDA A100;
AMZN;10/06/2020;AMZN Prime Day (2020);
APPL;22/06/2020;iOS 14, macOS Big Sur (WWDC);
TSMC;12/08/2020;3nm risk production planned.;
NVDA;01/09/2020;GeForce RTX 3080, 3070, 3090;
APPL;15/09/2020;Apple Watch Series 6, iPad (8th Gen), iPad Air (4th Gen);
AMZN;22/09/2020;Echo Dot with Clock;
MSFT;22/09/2020;Apple Watch, MacBook (12-inch);
GOOG;30/09/2020;Pixel 5, Pixel 4a (5G);
TSLA;30/09/2020;Full Self-Driving Beta;
GOOG;14/10/2020;Nest Audio;
TSLA;17/10/2020;TSLA Model S Plaid;
NVDA;12/04/2021;NVDA Grace CPU;
APPL;20/04/2021;AirTag, iMac (24-inch), iPad Pro (2021);
GOOG;18/05/2021;Google I/O (virtual);
AVGO;01/06/2021;First Terabit-class 50G PON.;
NVDA;01/06/2021;NVDA RTX 3080 Ti and 3070 Ti;
TSLA;08/06/2021;TSLA Model S Refresh;
TSMC;30/06/2021;5nm variant for automotive.;
APPL;14/09/2021;iPhone 13, iPhone 13 mini, iPhone 13 Pro, iPhone 13 Pro Max;
AMZN;15/09/2021;AMZN Astro;
MSFT;22/09/2021;iPhone 6s, iPhone 6s Plus, iPad Pro;
AMZN;27/09/2021;AMZN Glow;
GOOG;30/09/2021;Pixel 6, Pixel 6 Pro;
APPL;18/10/2021;MacBook Pro (14-inch and 16-inch), AirPods 3;
META;27/10/2021;Horizon Worlds;
META;28/10/2021;Rebranding to META;
META;09/11/2021;META Quest 2;
APPL;08/03/2022;iPhone SE (3rd Gen), iPad Air (5th Gen), Mac Studio;
NVDA;22/03/2022;NVDA Hopper Architecture;
TSLA;30/03/2022;Giga Berlin Opening;
META;05/04/2022;META Avatars;
TSLA;09/04/2022;TSLA Semi Production Begins;
GOOG;10/05/2022;Google I/O (virtual);
APPL;06/06/2022;iOS 16, macOS Ventura, watchOS 9 (WWDC);
TECHY;27/06/2022;44 new TECHYgames.;
AVGO;15/07/2022;Tomahawk 4 switch, 25.6 Tbps.;
APPL;07/09/2022;iPhone 14, iPhone 14 Plus, iPhone 14 Pro, iPhone 14 Pro Max;
NVDA;20/09/2022;GeForce RTX 4090, 4080;
AMZN;28/09/2022;AMZN Astro (availability);
AMZN;05/10/2022;Fire TV Stick 4K Max;
GOOG;06/10/2022;Pixel 7, Pixel 7 Pro;
META;11/10/2022;META Connect 2022;
MSFT;12/10/2022;iPhone SE, 9.7-inch iPad Pro;
APPL;18/10/2022;iPad Pro (M2), MacBook Pro (M2 Pro, M2 Max);
META;27/10/2022;META Quest Pro;
TSLA;22/11/2022;TSLA Cybertruck Production Starts;
TSLA;05/01/2023;TSLA Model 3 Highland Update;
AVGO;23/01/2023;Jericho3-AI for AI/ML.;
MSFT;07/02/2023;iOS 10, macOS Sierra, watchOS 3 (WWDC);
MSFT;13/02/2023;iPhone 7, iPhone 7 Plus, AirPods;
